Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1963358,-7.12,12.39,-3.02,132.99,-46.81,158.56
1963365,-7.22,12.78,-2.81,134.54,-50.4,158.23
1963372,-7.21,13.1,-2.73,135.93,-54.13,158.99
1963379,-7.23,13.32,-2.81,137.95,-57.96,159.46
1963386,-7.15,13.51,-2.86,140.63,-61.88,159.19
1963393,-7,13.72,-2.93,142.18,-65.28,158.48
1963400,-6.74,13.92,-2.87,143.64,-69.16,157.84
1963407,-6.39,14.19,-2.82,145.6,-73.56,156.45
1963414,-5.98,14.36,-2.97,147.64,-77.75,154.51
1963421,-5.7,14.6,-3.1,149.23,-82.2,152.85
1963428,-5.44,14.65,-3.23,151.13,-86.53,151.21
1963435,-5.31,14.87,-3.23,152.67,-90.94,149.3
1963442,-5.09,14.96,-3.35,154.67,-95.28,147.37
1963449,-4.95,15.39,-3.36,156.58,-99.76,145.11
1963456,-4.76,15.5,-3.29,158.47,-104.25,143.39
1963463,-4.65,15.68,-3.13,159.64,-108.54,140.47
1963470,-4.5,16.08,-3,161.15,-112.52,137.71
1963477,-4.42,16.39,-2.89,162.79,-117.07,135.19
1963484,-4.38,16.76,-2.78,164.57,-121.5,132.09
1963491,-4.32,17.06,-2.64,166.37,-126.11,129.1
1963498,-4.15,17.38,-2.6,168.3,-130.61,125.55
1963505,-3.87,17.55,-2.65,169.78,-135.27,121.54
1963512,-3.59,17.7,-2.63,172.6,-139.81,118.59
1963519,-3.28,17.7,-2.68,174.57,-144.6,115.16
1963526,-3.06,17.76,-2.84,175.4,-149.43,110.94
1963533,-2.83,17.78,-3.06,177.57,-154.29,107.42
1963540,-2.6,17.81,-3.26,179.37,-158.61,103.99
1963547,-2.36,17.8,-3.36,180.72,-163.31,99.67
1963554,-2.11,17.85,-3.45,181.85,-167.94,95.49
1963561,-1.78,18,-3.59,184.18,-172.47,91.51
1963568,-1.67,18.16,-3.54,185.68,-177.09,87.3
1963575,-1.51,18.37,-3.4,187.45,-181.66,83.43
1963582,-1.34,18.76,-3.31,189.57,-186.01,79.56
1963589,-1.26,18.98,-3.27,190.93,-190.33,74.36
1963596,-1.28,19.41,-3.38,193.39,-194.34,69.67
1963603,-1.35,19.6,-3.5,196.38,-198.11,64.95
1963610,-1.18,19.61,-3.6,198.81,-201.73,60.44
1963617,-0.91,19.73,-3.69,200.81,-204.8,55.65
1963624,-0.65,19.62,-3.7,203.03,-208.18,50.87
1963631,-0.42,19.64,-3.87,204.98,-211.61,44.68
1963638,-0.4,19.47,-4.14,207.86,-214.86,40.26
1963645,-0.27,19.37,-4.36,210.81,-217.9,35.21
1963652,-0.09,19.49,-4.51,212.89,-220.72,28.8
1963659,0.01,19.39,-4.65,215.23,-223.67,22.28
1963666,0.7,23,-4.65,216.84,-225.63,22.39
1963673,-0.73,23.92,-5.01,186.27,-223.55,29.75
1963708,-2.33,10.5,-5.93,67.11,-210.71,14.36
1963715,-0.65,9.4,-8.09,47.42,-209.16,37.52
1963722,0.36,7.74,-10.02,31.97,-208.84,10.21
1963729,0.82,8.17,-10.69,21.5,-208.97,-23.38
1963736,0.56,9.28,-9.87,14.98,-210.17,-29.76
1963743,0.51,12.36,-8.89,11.13,-211.13,4.58
1963750,1.02,14.62,-8.07,4.65,-212.05,52.43
1963757,0.36,13.78,-7.62,-6.89,-212.41,46.56
1963764,0.08,14.06,-8.01,-12.24,-213.22,21.8
1963771,-0.98,15.53,-8.4,-18.3,-214.44,-4.02
1963778,-0.79,18.9,-8.06,-18.45,-215.86,0.14
1963785,0.14,18.9,-6.7,-18.55,-217.12,34.8
1963792,0.11,20.77,-6.4,-29.08,-204.82,71.99
1963799,-3.15,18.24,-7.28,-39.85,-189.23,45.82
1963806,-6.19,20.83,-7.6,-48.03,-177.91,15.49
1963813,-5.38,21.77,-5.34,-51.25,-170.22,10.29
1963820,-2.15,23.65,-3,-55.07,-163.39,31.22
1963827,1.61,25.76,-3.37,-54.08,-160.69,65.27
1963834,2.2,22.58,-6.04,-54.7,-157.74,55.29
1963841,0.7,24.5,-9.72,-55.08,-157.54,29.59
1963848,-0.44,22.86,-10.65,-52.19,-156.42,17.02
1963855,0.58,21.52,-8.23,-51.21,-156.63,22.92
1963862,1.96,21.4,-5.87,-47.37,-157.65,35.25
1963869,3.03,19.06,-4.51,-44.27,-159.02,37.44
1963876,2.19,18.87,-5.83,-41.69,-161.08,21.79
1963883,0.44,18.8,-7.78,-38.49,-162.84,17.9
1963890,1.24,17.1,-8.01,-36.16,-164.82,22.63
1963897,1.61,17.23,-8.1,-32.7,-167.14,19.05
1963904,1.13,16.58,-8.45,-28.47,-169.61,21.05
1963911,0.83,17.4,-8.44,-24.95,-172.08,32.76
1963918,0.91,18.02,-7.91,-20.58,-174.21,42.33
1963925,1.24,17.42,-7.51,-18.03,-176.96,42.46
1963932,1.44,18.36,-7.56,-16.05,-179.47,27.87
1963939,1.58,18.98,-7.71,-13.02,-182.1,13.93
1963946,2.03,19.05,-7.63,-10.13,-185,13.54
1963953,2.74,20.19,-7.47,-6.23,-187.77,22.25
1963960,3.16,20.23,-7.19,-2.82,-190.8,25.09
1963967,2.81,20.11,-6.91,-0.36,-193.79,15.53
1963974,2.54,20.43,-6.67,1.59,-196.43,3.87
1963981,1.43,18.88,-6.72,-0.63,-196.41,12.92
1963988,0.6,19.52,-6.36,-5.42,-193.45,49.73
1963995,0.52,16.27,-5.99,-14.82,-188.56,90.37
1964002,1.36,16.48,-6.01,-29.19,-182.39,106.98
1964009,1.57,17.28,-6.8,-42.01,-177.2,97.22
1964016,1.54,16.7,-7.71,-54.1,-173.46,78.53
1964023,2.35,18.95,-8.17,-63,-171.17,76.66
1964030,2.94,18.61,-7.95,-67.14,-169.95,102.45
1964037,2.92,17.12,-5.81,-71.01,-167.35,146.05
